Set,1,ACDH,14U24U34U44U15U25U35U45U41u31u21u11u40u30u20u10u
Set,2,ABDG,14R24B34R44R15B25B35B45R41u31u21u11u40u30u20u10u
Move,1,B,N,14R24B34R44R15B25B35B45R41r31r21b11r40b30b20r10b
Move,2,H,E,14R23B34R44R15B25B35B45R41r31r21b11r40b30b20r10b
Move,1,B,S,14R23B34R44R15B25B35B45R41r31r21b11r40b30b20r00b
Move,2,D,S,14R24B34R44R15B25B35B45R41r31r21b11r40b30b20r00b
Move,1,D,N,14R24B34R44R15B25B35B45R41r31r21b10r40b30b20r00b
Move,2,H,N,14R24B34R43R15B25B35B45R41r31r21b10r40b30b20r00b
Move,1,H,E,14R24B34R43R15B25B35B45R41r31r21b10r40b30b20r01b
Move,2,C,E,14R24B34R43R15B25B35B55R41r31r21b10r40b30b20r01b
Move,1,G,E,14R24B34R43R15B25B35B55R41r31r11b10r40b30b20r01b
Move,2,B,N,14R24B34R43R15B25B45B55R41r31r11b10r40b30b20r01b
Move,1,C,S,14R24B34R43R15B25B45B55R41r32r11b10r40b30b20r01b
Move,2,B,E,14R24B35R43R15B25B45B55R41r32r11b10r40b30b20r01b
Move,1,D,S,14R24B35R43R15B25B45B55R41r22r11b10r40b30b20r01b
Move,2,E,W,14R24B35R44R15B25B45B55R41r22r11b10r40b30b20r01b
Move,1,H,N,14R24B35R44R15B25B45B55R41r22r11b10r50b30b20r01b
Move,2,A,E,14R24B35R44R15B25B45B54R41r22r11b10r50b30b20r01b
Move,1,E,W,14R24B35R44R15B25B45B54R31r22r11b10r50b30b20r01b
Move,2,H,S,14R24B35R44R05B25B45B54R31r22r11b10r50b30b20r01b
Move,1,A,N,14R24B35R44R05B25B45B54R31r22r11b10r50b30b20r00b
Move,2,A,E,13R24B35R44R05B25B45B54R31r22r11b10r50b30b20r00b
Move,1,F,W,13R24B35R44R05B25B45B54R21r22r11b10r50b30b20r00b
Move,2,F,W,13R24B35R44R05B15B45B54R21r22r11b10r50b30b20r00b
Move,1,A,N,13R24B35R44R05B15B45B54R21r22r11b10r50b40b20r00b
Move,2,E,N,12R24B35R44R05B15B45B54R21r22r11b10r50b40b20r00b
Move,1,B,W,12R24B35R44R05B15B45B54R21r22r11b10r51b40b20r00b
Move,2,B,N,12R14B35R44R05B15B45B54R21r22r11b10r51b40b20r00b
Move,1,F,E,12R14B35R44R05B15B45B54R21r23r11b10r51b40b20r00b
Move,2,B,S,12R14B35R44R05B25B45B54R21r23r11b10r51b40b20r00b
Move,1,A,W,12R14B35R44R05B25B45B54R21r22r11b10r51b40b20r00b
Move,2,B,N,02R14B35R44R05B25B45B54R21r22r11b10r51b40b20r00b
Move,1,D,W,02R14B35R44R05B25B45B54R21r23r11b10r51b40b20r00b
Move,2,A,N,02R14B35R34R05B25B45B54R21r23r11b10r51b40b20r00b
Move,1,A,E,02R14B35R34R05B25B45B54R22r23r11b10r51b40b20r00b
Move,2,E,S,12R14B35R34R05B25B45B54R22r23r11b10r51b40b20r00b
Move,1,B,W,12R14B35R34R05B25B45B54R22r23r11b10r50b40b20r00b
Move,2,B,N,12R04B35R34R05B25B45B54R22r23r11b10r50b40b20r00b
Move,1,D,N,12R04B35R34R05B25B45B54R22r24r11b10r50b40b20r00b
Move,2,B,E,12R04B35R33R05B25B45B54R22r24r11b10r50b40b20r00b
Move,1,F,W,12R04B35R33R05B25B45B54R22r14r11b10r50b40b20r00b
Move,2,A,S,12R04B35R33R05B15B45B54R22r14r11b10r50b40b20r00b
Move,1,D,W,12R04B35R33R05B15B45B54R21r14r11b10r50b40b20r00b
Move,2,H,N,12R04B35R23R05B15B45B54R21r14r11b10r50b40b20r00b
Move,1,C,N,12R04B35R23R05B15B45B54R21r14r11b10r50b40b20r01b
Move,2,H,S,12R04B34R23R05B15B45B54R21r14r11b10r50b40b20r01b
Move,1,B,N,12R04B34R23R05B15B45B54R21r14r11b10r50b40b20r00b
Move,2,C,E,12R03B34R23R05B15B45B54R21r14r11b10r50b40b20r00b
Move,1,G,N,12R03B34R23R05B15B45B54R21r14r01b10r50b40b20r00b
Move,2,E,N,12R03B34R23R05B15B44B54R21r14r01b10r50b40b20r00b
Move,1,G,S,12R03B34R23R05B15B44B54R21r14r01b10r51b40b20r00b
Move,2,E,E,12R03B34R23R05B15B45B54R21r14r01b10r51b40b20r00b
Move,1,D,S,12R03B34R23R05B15B45B54R21r14r01b10r41b40b20r00b
Move,2,E,N,12R03B34R24R05B15B45B54R21r14r01b10r41b40b20r00b
Move,1,F,N,12R03B34R24R05B15B45B54R21r14r01b10r42b40b20r00b
Move,2,C,N,12R03B34R24R05B14B45B54R21r99r01b10r42b40b20r00b
Move,1,H,S,12R03B34R24R05B14B45B54R21r99r02b10r42b40b20r00b
Move,2,E,N,12R03B34R24R05B14B45B55R21r99r02b10r42b40b20r00b
Move,1,B,N,12R03B34R24R05B14B45B55R21r99r02b10r43b40b20r00b
Move,2,E,W,12R02B34R24R05B14B45B55R21r99r99b10r43b40b20r00b
Move,1,A,N,12R02B34R24R05B14B45B55R21r99r99b10r53b40b20r00b
Move,2,A,W,11R02B34R24R05B14B45B55R21r99r99b10r53b40b20r00b
Move,1,A,W,11R02B34R24R05B14B45B55R31r99r99b10r53b40b20r00b
Move,2,H,N,01R02B34R24R05B14B45B55R31r99r99b10r53b40b20r00b
Move,1,B,N,99R02B34R24R05B14B45B55R31r99r99b10r53b40b20r01b
Move,2,F,W,99R01B34R24R05B14B45B55R31r99r99b10r53b40b20r99b
Move,1,F,W,99R01B34R24R05B14B45B55R31r99r99b10r53b50b20r99b
Move,2,G,W,99R01B34R24R05B04B45B55R31r99r99b10r53b50b20r99b
Move,1,H,N,99R01B34R24R05B04B45B55R31r99r99b10r53b50b30r99b
Move,2,F,N,99R01B34R24R05B04B45B54R31r99r99b10r53b50b30r99b
Move,1,G,W,99R01B34R24R05B04B45B54R31r99r99b10r53b51b30r99b
Move,2,F,S,99R01B34R24R05B04B35B54R31r99r99b10r53b51b30r99b
Move,1,D,N,99R01B34R24R05B04B35B54R31r99r99b10r53b50b30r99b
Move,2,E,N,99R01B34R23R05B04B35B54R31r99r99b10r53b50b30r99b
Move,1,B,N,99R01B34R23R05B04B35B99R31r99r99b10r54b50b30r99b
Move,2,E,E,99R00B34R23R05B04B35B99R31r99r99b10r54b50b30r99b
Move,1,B,W,99R00B34R23R05B04B35B99R31r99r99b10r44b50b30r99b
Result,1,99R88B34R23R05B04B35B99R31r99r99b10r44b50b30r99b
Turn,74
